state,date,icubeds,totalicubeds
CW,9/10/20,56942,79693
CW,9/11/20,56856,79569
CW,9/12/20,55810,79489
CW,9/13/20,54133,79389
CW,9/14/20,54169,79441
CW,9/15/20,56345,79903
CW,9/16/20,56834,79971
CW,9/17/20,57097,80422
CW,9/18/20,56972,80515
CW,9/19/20,55940,80488
CW,9/20/20,54124,79976
CW,9/21/20,54491,80447
CW,9/22/20,56820,80666
CW,9/23/20,57720,80670
CW,9/24/20,57881,80640
CW,9/25/20,58444,81894
CW,9/26/20,57159,81463
CW,9/27/20,55215,80661
CW,9/28/20,55513,80791
CW,9/29/20,58128,80997
CW,9/30/20,58530,81014
CW,10/1/20,58740,81507
CW,10/2/20,58286,81721
CW,10/3/20,57211,81482
CW,10/4/20,55702,81424
CW,10/5/20,56058,81786
CW,10/6/20,58640,81915
CW,10/7/20,59079,81628
CW,10/8/20,59242,81479
CW,10/9/20,58844,81592
CW,10/10/20,57780,81269
DC,9/10/20,247,356
DC,9/11/20,247,352
DC,9/12/20,252,342
DC,9/13/20,238,343
DC,9/14/20,237,341
DC,9/15/20,246,352
DC,9/16/20,242,345
DC,9/17/20,240,348
DC,9/18/20,244,344
DC,9/19/20,257,344
DC,9/20/20,244,337
DC,9/21/20,234,330
DC,9/22/20,240,346
DC,9/23/20,253,332
DC,9/24/20,261,357
DC,9/25/20,268,355
DC,9/26/20,265,355
DC,9/27/20,262,355
DC,9/28/20,255,338
DC,9/29/20,254,344
DC,9/30/20,263,361
DC,10/1/20,267,382
DC,10/2/20,264,355
DC,10/3/20,274,351
DC,10/4/20,247,336
DC,10/5/20,248,348
DC,10/6/20,252,350
DC,10/7/20,233,354
DC,10/8/20,231,370
DC,10/9/20,233,370
DC,10/10/20,266,365
AL,9/10/20,1243,1450
AR,9/10/20,728,937
CA,9/10/20,5195,7196
CT,9/10/20,505,1049
ID,9/10/20,187,297
MD,9/10/20,947,1293
AL,9/11/20,1229,1465
AR,9/11/20,748,951
CA,9/11/20,5113,7208
CT,9/11/20,511,1047
ID,9/11/20,198,297
MD,9/11/20,948,1301
AL,9/12/20,1207,1463
AR,9/12/20,735,950
CA,9/12/20,5027,7150
CT,9/12/20,509,1047
ID,9/12/20,204,297
MD,9/12/20,914,1285
AL,9/13/20,1198,1464
AR,9/13/20,699,936
CA,9/13/20,4871,7115
CT,9/13/20,497,1047
ID,9/13/20,196,297
MD,9/13/20,903,1288
AL,9/14/20,1224,1457
AR,9/14/20,695,944
CA,9/14/20,4757,7092
CT,9/14/20,489,1047
ID,9/14/20,196,297
MD,9/14/20,919,1303
AL,9/15/20,1224,1457
AR,9/15/20,725,947
CA,9/15/20,4962,7150
CT,9/15/20,502,1047
ID,9/15/20,205,297
MD,9/15/20,929,1295
AL,9/16/20,1276,1462
AR,9/16/20,747,955
CA,9/16/20,5003,7145
CT,9/16/20,509,1047
ID,9/16/20,198,297
MD,9/16/20,927,1297
AL,9/17/20,1246,1460
AR,9/17/20,753,957
CA,9/17/20,5020,7133
CT,9/17/20,512,1047
ID,9/17/20,186,298
MD,9/17/20,901,1297
AL,9/18/20,1238,1470
AR,9/18/20,732,960
CA,9/18/20,4984,7133
CT,9/18/20,497,1047
ID,9/18/20,173,298
MD,9/18/20,919,1288
AL,9/19/20,1274,1469
AR,9/19/20,697,945
CA,9/19/20,4871,7119
CT,9/19/20,501,1047
ID,9/19/20,180,298
MD,9/19/20,898,1296
AL,9/20/20,1224,1472
AR,9/20/20,714,955
CA,9/20/20,4746,7074
CT,9/20/20,484,1047
ID,9/20/20,182,298
MD,9/20/20,873,1283
AL,9/21/20,1227,1473
AR,9/21/20,721,956
CA,9/21/20,4751,7070
CT,9/21/20,486,1047
ID,9/21/20,187,298
MD,9/21/20,873,1284
AL,9/22/20,1286,1473
AR,9/22/20,732,952
CA,9/22/20,4873,7132
CT,9/22/20,530,1047
ID,9/22/20,196,298
MD,9/22/20,936,1284
AL,9/23/20,1251,1469
AR,9/23/20,743,955
CA,9/23/20,4992,7155
CT,9/23/20,533,1047
ID,9/23/20,194,298
MD,9/23/20,926,1294
AL,9/24/20,1214,1463
AR,9/24/20,754,959
CA,9/24/20,5030,7154
CT,9/24/20,544,1047
ID,9/24/20,191,298
MD,9/24/20,946,1344
AL,9/25/20,1225,1466
AR,9/25/20,772,966
CA,9/25/20,4968,7122
CT,9/25/20,538,1046
ID,9/25/20,193,298
MD,9/25/20,939,1340
AL,9/26/20,1212,1461
AR,9/26/20,720,949
CA,9/26/20,4880,7145
CT,9/26/20,524,1046
ID,9/26/20,209,298
MD,9/26/20,937,1331
AL,9/27/20,1228,1478
AR,9/27/20,718,939
CA,9/27/20,4773,7049
CT,9/27/20,518,1046
ID,9/27/20,176,298
MD,9/27/20,876,1328
AL,9/28/20,1235,1480
AR,9/28/20,732,937
CA,9/28/20,4734,7113
CT,9/28/20,499,1046
ID,9/28/20,177,298
MD,9/28/20,885,1336
AL,9/29/20,1241,1467
AR,9/29/20,762,946
CA,9/29/20,4905,7137
CT,9/29/20,532,1046
ID,9/29/20,176,298
MD,9/29/20,941,1337
AL,9/30/20,1245,1468
AR,9/30/20,774,959
CA,9/30/20,4923,7122
CT,9/30/20,549,1046
ID,9/30/20,188,298
MD,9/30/20,941,1354
AL,10/1/20,1237,1468
AR,10/1/20,772,964
CA,10/1/20,5011,7175
CT,10/1/20,540,1046
ID,10/1/20,182,298
MD,10/1/20,928,1355
AL,10/2/20,1248,1486
AR,10/2/20,745,954
CA,10/2/20,4956,7134
CT,10/2/20,541,1055
ID,10/2/20,189,298
MD,10/2/20,928,1352
AL,10/3/20,1211,1484
AR,10/3/20,746,942
CA,10/3/20,4934,7151
CT,10/3/20,528,1046
ID,10/3/20,192,298
MD,10/3/20,928,1346
AL,10/4/20,1230,1493
AR,10/4/20,735,942
CA,10/4/20,4712,7117
CT,10/4/20,495,1046
ID,10/4/20,177,298
MD,10/4/20,885,1343
AL,10/5/20,1251,1514
AR,10/5/20,743,953
CA,10/5/20,4743,7108
CT,10/5/20,508,1046
ID,10/5/20,186,296
MD,10/5/20,894,1341
AL,10/6/20,1267,1499
AR,10/6/20,754,944
CA,10/6/20,4950,7184
CT,10/6/20,529,1046
ID,10/6/20,196,298
MD,10/6/20,935,1351
AL,10/7/20,1274,1498
AR,10/7/20,761,942
CA,10/7/20,4963,7161
CT,10/7/20,545,1046
ID,10/7/20,205,298
MD,10/7/20,930,1341
AL,10/8/20,1270,1502
AR,10/8/20,772,955
CA,10/8/20,5012,7158
CT,10/8/20,526,1046
ID,10/8/20,182,298
MD,10/8/20,944,1326
AL,10/9/20,1323,1518
AR,10/9/20,750,953
CA,10/9/20,5024,7154
CT,10/9/20,504,1046
ID,10/9/20,193,298
MD,10/9/20,953,1270
AL,10/10/20,1281,1524
AR,10/10/20,728,941
CA,10/10/20,4894,7051
CT,10/10/20,504,1046
ID,10/10/20,200,298
MD,10/10/20,931,1265
GA,9/10/20,1659,1965
IN,9/10/20,1444,2318
KS,9/10/20,497,649
LA,9/10/20,1250,1718
