state,date,covidbeds,totalinpatientbeds
CW,9/10/20,39106,715375
CW,9/11/20,38085,716669
CW,9/12/20,37329,714291
CW,9/13/20,36948,708206
CW,9/14/20,37392,712517
CW,9/15/20,37866,711547
CW,9/16/20,37102,712376
CW,9/17/20,35795,714760
CW,9/18/20,35493,715606
CW,9/19/20,34991,713507
CW,9/20/20,34562,711083
CW,9/21/20,35603,712614
CW,9/22/20,36632,717686
CW,9/23/20,36228,720247
CW,9/24/20,36095,720927
CW,9/25/20,35905,721385
CW,9/26/20,35443,717708
CW,9/27/20,35340,715982
CW,9/28/20,36212,714957
CW,9/29/20,37366,717929
CW,9/30/20,36899,719954
CW,10/1/20,36727,722580
CW,10/2/20,36406,721492
CW,10/3/20,36313,719783
CW,10/4/20,37107,717337
CW,10/5/20,38666,719053
CW,10/6/20,40454,722669
CW,10/7/20,40753,722485
CW,10/8/20,40907,724259
CW,10/9/20,40470,728166
CW,10/10/20,39985,725869
DC,9/10/20,140,2834
DC,9/11/20,145,2854
DC,9/12/20,145,2789
DC,9/13/20,128,2788
DC,9/14/20,130,2845
DC,9/15/20,156,2850
DC,9/16/20,166,2852
DC,9/17/20,148,2850
DC,9/18/20,125,2847
DC,9/19/20,127,2817
DC,9/20/20,134,2796
DC,9/21/20,134,2807
DC,9/22/20,142,2843
DC,9/23/20,151,2906
DC,9/24/20,152,2888
DC,9/25/20,144,2880
DC,9/26/20,144,2802
DC,9/27/20,149,2778
DC,9/28/20,143,2854
DC,9/29/20,154,2833
DC,9/30/20,158,2901
DC,10/1/20,149,2857
DC,10/2/20,145,2878
DC,10/3/20,159,2878
DC,10/4/20,144,2819
DC,10/5/20,158,2892
DC,10/6/20,172,2878
DC,10/7/20,153,2892
DC,10/8/20,153,2920
DC,10/9/20,151,2907
DC,10/10/20,143,2922
AL,9/10/20,977,13934
AR,9/10/20,545,7779
CA,9/10/20,4029,60783
CT,9/10/20,166,8075
ID,9/10/20,147,3573
MD,9/10/20,747,10075
